"","game_date","time","home","guest","home_score","guest_score","date","hour","1","X","2","advantage","winner"
"79","2016-12-08","05:30","LA Clippers","Golden State Warriors",98,115,"07/12/2016","07:20",1.8,9,1.8,4,"2"
"80","2016-12-08","05:30","LA Clippers","Golden State Warriors",98,115,"07/12/2016","14:45",1.8,9,1.8,5,"2"
"81","2016-12-08","02:00","Orlando Magic","Boston Celtics",87,117,"07/12/2016","17:55",1.8,9,1.8,4,"2"
"82","2016-12-08","02:00","Orlando Magic","Boston Celtics",87,117,"07/12/2016","18:15",1.8,9,1.8,3,"2"
"83","2016-12-08","02:00","Orlando Magic","Boston Celtics",87,117,"07/12/2016","18:50",1.8,9,1.8,2,"2"
"84","2016-12-08","02:00","Orlando Magic","Boston Celtics",87,117,"07/12/2016","19:05",1.8,9,1.8,1,"2"
"85","2016-12-08","02:30","Atlanta Hawks","Miami Heat",103,95,"07/12/2016","07:20",1.8,9,1.8,-8,"X"
"86","2016-12-08","03:00","Houston Rockets","Los Angeles Lakers",134,95,"07/12/2016","07:20",1.8,9,1.8,-12,"1.0"
"87","2016-12-08","03:00","Houston Rockets","Los Angeles Lakers",134,95,"07/12/2016","20:55",1.8,9,1.8,-14,"1.0"
"88","2016-12-08","03:00","New York Knicks","Cleveland Cavaliers",94,126,"07/12/2016","17:55",1.8,9,1.8,9,"2"
"89","2016-12-08","04:00","Phoenix Suns","Indiana Pacers",94,109,"07/12/2016","17:55",1.8,9,1.8,5,"2"
"90","2016-12-09","02:00","Toronto Raptors","Minnesota Timberwolves",124,110,"08/12/2016","09:20",1.8,9,1.8,-8,"1.0"
"91","2016-12-09","04:30","Chicago Bulls","San Antonio Spurs",95,91,"08/12/2016","09:25",1.8,9,1.8,3,"1.0"
"92","2016-12-09","04:30","Chicago Bulls","San Antonio Spurs",95,91,"08/12/2016","16:25",1.8,9,1.8,4,"1.0"
"93","2016-12-09","02:00","Washington Wizards","Denver Nuggets",92,85,"08/12/2016","09:15",1.8,9,1.8,-6,"1.0"
"94","2016-12-09","03:00","Memphis Grizzlies","Portland Trail Blazers",88,86,"08/12/2016","09:20",1.8,9,1.8,-2,"X"
"95","2016-12-09","03:00","Memphis Grizzlies","Portland Trail Blazers",88,86,"08/12/2016","20:00",1.8,9,1.8,1,"1.0"
"96","2016-12-09","03:00","Memphis Grizzlies","Portland Trail Blazers",88,86,"08/12/2016","22:15",1.8,9,1.8,2,"1.0"
"97","2016-12-09","03:00","Memphis Grizzlies","Portland Trail Blazers",88,86,"08/12/2016","23:35",1.8,9,1.8,3,"1.0"
"98","2016-12-09","03:00","Memphis Grizzlies","Portland Trail Blazers",88,86,"09/12/2016","00:00",1.8,9,1.8,4,"1.0"
"99","2016-12-09","04:00","Utah Jazz","Golden State Warriors",99,106,"08/12/2016","18:05",1.8,9,1.8,7,"X"
"100","2016-12-09","04:00","Utah Jazz","Golden State Warriors",99,106,"08/12/2016","20:35",1.8,9,1.8,10,"1.0"
"101","2016-12-09","04:00","Utah Jazz","Golden State Warriors",99,106,"08/12/2016","22:55",1.8,9,1.8,11,"1.0"
"102","2016-12-10","02:30","Boston Celtics","Toronto Raptors",94,101,"09/12/2016","18:15",1.8,9,1.8,-1,"2"
"103","2016-12-10","03:00","Oklahoma City Thunder","Houston Rockets",99,102,"09/12/2016","08:00",1.8,9,1.8,1,"2"
"104","2016-12-10","03:00","Oklahoma City Thunder","Houston Rockets",99,102,"09/12/2016","17:15",1.8,9,1.8,-1,"2"
"105","2016-12-10","03:00","Minnesota Timberwolves","Detroit Pistons",90,117,"09/12/2016","07:55",1.8,9,1.8,2,"2"
"106","2016-12-10","03:00","Minnesota Timberwolves","Detroit Pistons",90,117,"09/12/2016","18:15",1.8,9,1.8,3,"2"
"107","2016-12-10","05:30","Los Angeles Lakers","Phoenix Suns",115,119,"09/12/2016","08:05",1.8,9,1.8,-2,"2"
"108","2016-12-10","02:00","Charlotte Hornets","Orlando Magic",109,88,"09/12/2016","07:55",1.8,9,1.8,-7,"1.0"
"109","2016-12-10","02:30","Cleveland Cavaliers","Miami Heat",114,84,"09/12/2016","07:55",1.8,9,1.8,-13,"1.0"
"110","2016-12-10","02:30","Cleveland Cavaliers","Miami Heat",114,84,"09/12/2016","18:20",1.8,9,1.8,-12,"1.0"
"111","2016-12-10","02:30","Cleveland Cavaliers","Miami Heat",114,84,"09/12/2016","19:05",1.8,9,1.8,-11,"1.0"
"112","2016-12-10","03:00","Milwaukee Bucks","Atlanta Hawks",110,114,"09/12/2016","07:55",1.8,9,1.8,-3,"2"
"113","2016-12-10","03:00","Milwaukee Bucks","Atlanta Hawks",110,114,"09/12/2016","18:15",1.8,9,1.8,-4,"2"
"114","2016-12-10","03:30","Dallas Mavericks","Indiana Pacers",111,103,"09/12/2016","08:05",1.8,9,1.8,5,"1.0"
"115","2016-12-10","03:30","Dallas Mavericks","Indiana Pacers",111,103,"09/12/2016","20:20",1.8,9,1.8,4,"1.0"
"116","2016-12-10","05:30","Sacramento Kings","New York Knicks",100,103,"09/12/2016","18:10",1.8,9,1.8,-4,"2"
"117","2016-12-11","02:00","Indiana Pacers","Portland Trail Blazers",118,111,"10/12/2016","10:50",1.8,9,1.8,-1,"1.0"
"118","2016-12-11","02:00","Indiana Pacers","Portland Trail Blazers",118,111,"10/12/2016","17:15",1.8,9,1.8,1,"1.0"
"119","2016-12-11","02:30","Cleveland Cavaliers","Charlotte Hornets",116,105,"10/12/2016","18:10",1.8,9,1.8,-8,"1.0"
"120","2016-12-11","03:00","Memphis Grizzlies","Golden State Warriors",110,89,"10/12/2016","10:55",1.8,9,1.8,10,"1.0"
"121","2016-12-11","03:00","Memphis Grizzlies","Golden State Warriors",110,89,"10/12/2016","17:15",1.8,9,1.8,11,"1.0"
"122","2016-12-11","03:00","Memphis Grizzlies","Golden State Warriors",110,89,"10/12/2016","19:05",1.8,9,1.8,12,"1.0"
"123","2016-12-11","03:00","Memphis Grizzlies","Golden State Warriors",110,89,"10/12/2016","21:10",1.8,9,1.8,13,"1.0"
"124","2016-12-11","03:30","San Antonio Spurs","Brooklyn Nets",130,101,"10/12/2016","10:55",1.8,9,1.8,-15,"1.0"
"125","2016-12-11","02:00","Orlando Magic","Denver Nuggets",113,121,"10/12/2016","10:50",1.8,9,1.8,1,"2"
"126","2016-12-11","02:00","Orlando Magic","Denver Nuggets",113,121,"10/12/2016","17:10",1.8,9,1.8,2,"2"
"127","2016-12-11","02:00","Orlando Magic","Denver Nuggets",113,121,"10/12/2016","18:05",1.8,9,1.8,3,"2"
"128","2016-12-11","02:00","Washington Wizards","Milwaukee Bucks",110,105,"10/12/2016","10:50",1.8,9,1.8,-4,"1.0"
"129","2016-12-11","03:00","Houston Rockets","Dallas Mavericks",109,87,"10/12/2016","10:55",1.8,9,1.8,-14,"1.0"
"130","2016-12-11","03:00","Houston Rockets","Dallas Mavericks",109,87,"10/12/2016","23:25",1.8,9,1.8,-13,"1.0"
"131","2016-12-11","03:00","Houston Rockets","Dallas Mavericks",109,87,"11/12/2016","00:00",1.8,9,1.8,-12,"1.0"
"132","2016-12-11","03:00","Chicago Bulls","Miami Heat",105,100,"10/12/2016","10:55",1.8,9,1.8,-10,"2"
"133","2016-12-11","04:00","Utah Jazz","Sacramento Kings",104,84,"10/12/2016","18:10",1.8,9,1.8,-6,"1.0"
"134","2016-12-12","01:00","Detroit Pistons","Philadelphia 76ers",79,97,"11/12/2016","18:20",1.8,9,1.8,-13,"2"
"135","2016-12-12","01:00","Detroit Pistons","Philadelphia 76ers",79,97,"11/12/2016","23:55",1.8,9,1.8,-12,"2"
"136","2016-12-12","02:00","Minnesota Timberwolves","Golden State Warriors",108,116,"11/12/2016","10:10",1.8,9,1.8,9,"1.0"
"137","2016-12-12","02:00","Minnesota Timberwolves","Golden State Warriors",108,116,"11/12/2016","15:35",1.8,9,1.8,10,"1.0"
"138","2016-12-12","02:00","Minnesota Timberwolves","Golden State Warriors",108,116,"11/12/2016","17:40",1.8,9,1.8,11,"1.0"
"139","2016-12-12","04:30","Los Angeles Lakers","New York Knicks",112,118,"11/12/2016","18:25",1.8,9,1.8,2,"2"
"140","2016-12-12","02:00","Oklahoma City Thunder","Boston Celtics",99,96,"11/12/2016","10:10",1.8,9,1.8,-4,"2"
"141","2016-12-13","02:30","Toronto Raptors","Milwaukee Bucks",122,100,"12/12/2016","08:30",1.8,9,1.8,-9,"1.0"
"142","2016-12-13","02:30","Toronto Raptors","Milwaukee Bucks",122,100,"12/12/2016","18:15",1.8,9,1.8,-8,"1.0"
"143","2016-12-13","02:30","Toronto Raptors","Milwaukee Bucks",122,100,"12/12/2016","22:15",1.8,9,1.8,-7,"1.0"
"144","2016-12-13","03:00","Houston Rockets","Brooklyn Nets",122,118,"12/12/2016","08:30",1.8,9,1.8,-14,"2"
"145","2016-12-13","05:30","LA Clippers","Portland Trail Blazers",121,120,"12/12/2016","08:30",1.8,9,1.8,-9,"2"
"146","2016-12-13","02:00","Indiana Pacers","Charlotte Hornets",110,94,"12/12/2016","08:30",1.8,9,1.8,-2,"1.0"
"147","2016-12-13","02:00","Indiana Pacers","Charlotte Hornets",110,94,"12/12/2016","18:30",1.8,9,1.8,1,"1.0"
"148","2016-12-13","02:30","Miami Heat","Washington Wizards",112,101,"12/12/2016","08:30",1.8,9,1.8,1,"1.0"
"149","2016-12-13","03:30","Dallas Mavericks","Denver Nuggets",112,92,"12/12/2016","18:10",1.8,9,1.8,1,"1.0"
"150","2016-12-13","03:30","Dallas Mavericks","Denver Nuggets",112,92,"12/12/2016","23:20",1.8,9,1.8,2,"1.0"
